Título,¿Aprueba?,Año,Dirección,Guionista(s),década
Fantasía,No,1940,Director,Hombre,1940s
Pinocho,No,1940,Director,Hombre,1940s
Dumbo,No,1941,Director,Hombre,1940s
El dragón chiflado,Sí,1941,Director,Hombre,1940s
Bambi,No,1942,Director,Hombre,1940s
Saludos amigos,No,1942,Director,Hombre,1940s
Los tres caballeros,No,1944,Director,Hombre,1940s
Canción del Sur,No,1946,Director,Hombre,1940s
"Música, maestro",No,1946,Director,Mixto,1940s
La Cenicienta,Sí,1950,Director,Hombre,1950s
Alicia en el país de las maravillas,Sí,1951,Director,Hombre,1950s
La dama y el vagabundo,No,1955,Director,Hombre,1950s
La bella durmiente,Sí,1959,Director,Hombre,1950s
Merlín el encantador,No,1963,Director,Hombre,1960s
El libro de la selva,No,1967,Director,Hombre,1960s
Los aristogatos,Sí,1970,Director,Hombre,1970s
La bruja novata,Sí,1971,Director,Hombre,1970s
Robin Hood,Sí,1973,Director,Hombre,1970s
Los rescatadores,Sí,1977,Director,Hombre,1970s
El señor de los anillos,No,1978,Director,Hombre,1970s
Tod y Toby,No,1981,Director,Hombre,1980s
Nausicaä del Valle del Viento,Sí,1984,Director,Hombre,1980s
Los osos amorosos,Sí,1985,Directora,Hombre,1980s
Starchaser: la leyenda de Orin,No,1985,Director,Hombre,1980s
Tarón y el caldero mágico,Sí,1985,Director,Hombre,1980s
"Basil, el ratón superdetective",No,1986,Director,Mixto,1980s
Transformers: La película,No,1986,Director,Hombre,1980s
La vuelta al mundo de Alvin y las ardillas,Sí,1987,Directora,Mixto,1980s
¿Quién engañó a Roger Rabbit?,No,1988,Director,Hombre,1980s
Akira,No,1988,Director,Hombre,1980s
En busca del valle encantado,Sí,1988,Director,Hombre,1980s
Mi vecino Totoro,Sí,1988,Director,Hombre,1980s
Oliver y su pandilla,No,1988,Director,Hombre,1980s
Babar en la selva,Sí,1989,Director,Hombre,1980s
La sirenita,Sí,1989,Director,Hombre,1980s
Todos los perros van al cielo,Sí,1989,Director,Hombre,1980s
Los Rescatadores en Cangurolandia,No,1990,Director,Mixto,1990s
101 dálmatas,Sí,1991,Director,Hombre,1990s
Fievel va al Oeste,Sí,1991,Director,Hombre,1990s
La bella y la bestia,Sí,1991,Director,Mujer,1990s
La princesa y los duendes,Sí,1991,Director,Hombre,1990s
Aladdin,No,1992,Director,Hombre,1990s
"FernGully, las aventuras de Zak y Crysta",Sí,1992,Director,Hombre,1990s
Freddie Agente O.7. (Freddie la rana),No,1992,Director,Hombre,1990s
Tom y Jerry: La película,Sí,1992,Director,Hombre,1990s
Batman: La máscara del fantasma,No,1993,Director,Hombre,1990s
Pesadilla antes de Navidad,No,1993,Director,Mixto,1990s
El guardián de las palabras,No,1994,Director,Hombre,1990s
El retorno de Jafar,No,1994,Director,Hombre,1990s
El Rey León (1994),No,1994,Director,Mixto,1990s
La princesa cisne,No,1994,Director,Hombre,1990s
Balto,No,1995,Director,Mixto,1990s
Ghost in the Shell,No,1995,Director,Hombre,1990s
Goofy e hijo,No,1995,Director,Hombre,1990s
Pocahontas,Sí,1995,Director,Mujer,1990s
Toy Story,No,1995,Director,Hombre,1990s
Beavis y Butt-Head recorren América,No,1996,Director,Hombre,1990s
El jorobado de Notre Dame,No,1996,Director,Mixto,1990s
James y el melocotón gigante,Sí,1996,Director,Mixto,1990s
Space Jam,No,1996,Director,Hombre,1990s
Anastasia,Sí,1997,Director,Mixto,1990s
Hércules,Sí,1997,Director,Mixto,1990s
La princesa Mononoke,Sí,1997,Director,Hombre,1990s
Antz (Hormigaz),Sí,1998,Director,Hombre,1990s
"Bichos, una aventura en miniatura",Sí,1998,Director,Hombre,1990s
El príncipe de Egipto,Sí,1998,Mixto,Hombre,1990s
La espada mágica: En busca de Camelot,Sí,1998,Director,Mixto,1990s
Pokémon: La película,Sí,1998,Director,Hombre,1990s
Rugrats. La película,Sí,1998,Director,Hombre,1990s
El gigante de hierro,No,1999,Director,Hombre,1990s
Fantasía 2000,No,1999,Director,Mixto,1990s
Pokémon 2000: El poder de uno,Sí,1999,Director,Hombre,1990s
Tarzán,No,1999,Director,Hombre,1990s
Toy Story 2,No,1999,Director,Mixto,1990s
Chicken Run: Evasión en la granja,Sí,2000,Director,Hombre,2000s
Dinosaurio,Sí,2000,Director,Hombre,2000s
El emperador y sus locuras,Sí,2000,Director,Hombre,2000s
La película de Tigger. Las Nuevas Aventuras de Winnie the Pooh,No,2000,Directora,Hombre,2000s
La ruta hacia El Dorado,No,2000,Director,Hombre,2000s
Rugrats en París. La película,Sí,2000,Director,Mixto,2000s
Titan A.E.,Sí,2000,Director,Hombre,2000s
Atlantis: El imperio perdido,No,2001,Director,Hombre,2000s
El viaje de Chihiro,Sí,2001,Director,Hombre,2000s
Final Fantasy: La Fuerza Interior,No,2001,Director,Hombre,2000s
Jimmy Neutron: el niño inventor,Sí,2001,Director,Hombre,2000s
La banda del patio,Sí,2001,Director,Hombre,2000s
"Monstruos, S.A.",No,2001,Director,Hombre,2000s
Shrek,No,2001,Mixto,Hombre,2000s
El planeta del tesoro,Sí,2002,Director,Hombre,2000s
Ice Age,No,2002,Director,Hombre,2000s
Las Supernenas,Sí,2002,Director,Hombre,2000s
Lilo & Stitch,Sí,2002,Director,Hombre,2000s
Los Thornberrys: La película,Sí,2002,Mixto,Mujer,2000s
"Spirit, el corcel indomable",No,2002,Mixto,Hombre,2000s
Buscando a Nemo,No,2003,Director,Hombre,2000s
El libro de la selva 2,No,2003,Director,Hombre,2000s
Hermano oso,No,2003,Director,Hombre,2000s
Los rugrats: Vacaciones salvajes,Sí,2003,Director,Mujer,2000s
Simbad: La leyenda de los siete mares,No,2003,Director,Hombre,2000s
Tokyo Godfathers,Sí,2003,Director,Mixto,2000s
Bob Esponja: La película,Sí,2004,Director,Hombre,2000s
El espantatiburones,Sí,2004,Mixto,Hombre,2000s
Los Increíbles,Sí,2004,Director,Hombre,2000s
Polar Express (El Expreso Polar),Sí,2004,Director,Hombre,2000s
Shrek 2,Sí,2004,Director,Hombre,2000s
Zafarrancho en el rancho,Sí,2004,Director,Hombre,2000s
Chicken Little,No,2005,Director,Hombre,2000s
La increíble pero cierta historia de Caperucita Roja,Sí,2005,Director,Hombre,2000s
Madagascar,No,2005,Director,Hombre,2000s
Robots,No,2005,Director,Hombre,2000s
Valiant,No,2005,Director,Hombre,2000s
Wallace & Gromit. La maldición de las verduras,No,2005,Director,Hombre,2000s
"Ant Bully, bienvenido al hormiguero",No,2006,Director,Hombre,2000s
Cars,No,2006,Director,Mixto,2000s
Colegas en el bosque,No,2006,Director,Hombre,2000s
"El corral, una fiesta muy bestia",Sí,2006,Director,Hombre,2000s
Happy Feet: Rompiendo el hielo,Sí,2006,Director,Mixto,2000s
Ice Age 2: El deshielo,No,2006,Director,Hombre,2000s
Monster House,Sí,2006,Director,Mixto,2000s
Ratónpolis,No,2006,Director,Hombre,2000s
Bee Movie,No,2007,Director,Hombre,2000s
Beowulf,Sí,2007,Director,Hombre,2000s
Descubriendo a los Robinsons,No,2007,Director,Mujer,2000s
Locos por el surf,No,2007,Director,Hombre,2000s
Los Simpson: La película,Sí,2007,Director,Hombre,2000s
Ratatouille,No,2007,Director,Hombre,2000s
Shrek Tercero,Sí,2007,Director,Hombre,2000s
Tortugas Ninja jóvenes mutantes,No,2007,Director,Hombre,2000s
Bolt,Sí,2008,Director,Hombre,2000s
El valiente Despereaux,Sí,2008,Director,Hombre,2000s
Horton,No,2008,Director,Hombre,2000s
Igor,No,2008,Director,Hombre,2000s
Kung Fu Panda,No,2008,Director,Hombre,2000s
Madagascar 2,No,2008,Director,Hombre,2000s
Star Wars: The Clone Wars,No,2008,Director,Hombre,2000s
Cuento de Navidad,No,2009,Director,Hombre,2000s
Fantástico Sr. Fox,No,2009,Director,Mixto,2000s
G-Force: Licencia para espiar,No,2009,Director,Mixto,2000s
Ice Age 3: El origen de los dinosaurios,No,2009,Director,Hombre,2000s
Lluvia de albóndigas,No,2009,Director,Hombre,2000s
Los mundos de Coraline,Sí,2009,Director,Hombre,2000s
Número 9,No,2009,Director,Mixto,2000s
Planet 51 (Planeta 51),No,2009,Director,Hombre,2000s
Tiana y el sapo,Sí,2009,Director,Hombre,2000s
Up,No,2009,Director,Hombre,2000s
Cómo entrenar a tu dragón,Sí,2010,Director,Hombre,2010s
Enredados,Sí,2010,Director,Hombre,2010s
"Gru, mi villano favorito",Sí,2010,Director,Hombre,2010s
Megamind,No,2010,Director,Hombre,2010s
"Shrek, felices para siempre",No,2010,Director,Hombre,2010s
Toy Story 3,Sí,2010,Director,Hombre,2010s
Arthur Christmas: Operación Regalo,No,2011,Mixto,Mixto,2010s
Cars 2,No,2011,Director,Hombre,2010s
El gato con botas,No,2011,Director,Hombre,2010s
Kung Fu Panda 2,Sí,2011,Directora,Hombre,2010s
Las aventuras de Tintín: El secreto del unicornio,No,2011,Director,Hombre,2010s
Rango,No,2011,Director,Hombre,2010s
Río,No,2011,Director,Hombre,2010s
¡Piratas!,No,2012,Director,Hombre,2010s
¡Rompe Ralph!,Sí,2012,Director,Hombre,2010s
Brave,Sí,2012,Mixto,Mixto,2010s
El alucinante mundo de Norman,Sí,2012,Director,Hombre,2010s
El origen de los guardianes,No,2012,Director,Hombre,2010s
Frankenweenie,No,2012,Director,Hombre,2010s
Hotel Transilvania,Sí,2012,Director,Hombre,2010s
Ice Age 4: La formación de los continentes,No,2012,Director,Hombre,2010s
Lorax. En busca de la trúfula perdida,No,2012,Director,Hombre,2010s
Madagascar 3: De marcha por Europa,No,2012,Director,Mixto,2010s
Aviones,No,2013,Director,Hombre,2010s
Epic. El mundo secreto,Sí,2013,Director,Hombre,2010s
Frozen,Sí,2013,Mixto,Mujer,2010s
Gru 2: Mi villano favorito,Sí,2013,Director,Hombre,2010s
Lluvia de albóndigas 2,Sí,2013,Director,Hombre,2010s
Los Croods. Una aventura prehistórica,Sí,2013,Director,Hombre,2010s
Monstruos University,No,2013,Director,Hombre,2010s
Operación escape,Sí,2013,Director,Hombre,2010s
Aviones: Equipo de rescate (Aviones 2),No,2014,Director,Hombre,2010s
Cómo entrenar a tu dragón 2,No,2014,Director,Hombre,2010s
El libro de la vida,Sí,2014,Director,Hombre,2010s
La LEGO película,Sí,2014,Director,Hombre,2010s
Las aventuras de Peabody y Sherman,No,2014,Director,Hombre,2010s
Los Boxtrolls,No,2014,Director,,2010s
Los pingüinos de Madagascar,No,2014,Director,Hombre,2010s
Río 2,Sí,2014,Director,Hombre,2010s
Bob Esponja: Un héroe fuera del agua,No,2015,Director,Hombre,2010s
Carlitos y Snoopy: La película de Peanuts,Sí,2015,Director,Hombre,2010s
Del revés (Inside Out),Sí,2015,Director,Mixto,2010s
El viaje de Arlo,Sí,2015,Director,Mujer,2010s
Home: Hogar dulce hogar,Sí,2015,Director,Hombre,2010s
Hotel Transilvania 2,Sí,2015,Director,Hombre,2010s
Minions,Sí,2015,Director,Hombre,2010s
Angry Birds: La película,No,2016,Director,Hombre,2010s
Buscando a Dory,Sí,2016,Director,Mixto,2010s
Cigüeñas,No,2016,Director,Hombre,2010s
Kubo y las dos cuerdas mágicas,No,2016,Director,Hombre,2010s
Kung Fu Panda 3,Sí,2016,Mixto,Hombre,2010s
La fiesta de las salchichas,Sí,2016,Director,Hombre,2010s
Mascotas,No,2016,Director,Hombre,2010s
Trolls,Sí,2016,Director,Mujer,2010s
Vaiana,Sí,2016,Director,,2010s
Zootrópolis,Sí,2016,Director,Hombre,2010s
"Capitán Calzoncillos, su primer peliculón",No,2017,Director,Hombre,2010s
Coco,Sí,2017,Director,Hombre,2010s
El bebé jefazo,No,2017,Director,Hombre,2010s
Emoji: La película,No,2017,Director,Hombre,2010s
Gru 3: Mi villano favorito,Sí,2017,Director,Hombre,2010s
Isla de perros,Sí,2018,Director,Hombre,2010s
Los Increíbles 2,Sí,2018,Director,Hombre,2010s
Peter Rabbit,No,2018,Director,Hombre,2010s
Ralph rompe Internet,Sí,2018,Director,Mixto,2010s
Smallfoot,Sí,2018,Director,Mixto,2010s
Spider-Man: Un nuevo universo,No,2018,Director,Mixto,2010s
Abominable,Sí,2019,Director,Hombre,2010s
El parque mágico,Sí,2019,Director,,2010s
El Rey León (2019),Sí,2019,Director,Hombre,2010s
El tiempo contigo,Sí,2019,Director,Hombre,2010s
Espías con disfraz,Sí,2019,Director,Hombre,2010s
Frozen 2,Sí,2019,Mixto,Mujer,2010s
La familia Addams,Sí,2019,Director,Mixto,2010s
La LEGO película 2,Sí,2019,Mixto,Hombre,2010s
My Hero Academia: El despertar de los héroes,Sí,2019,Director,Hombre,2010s
Toy Story 4,Sí,2019,Director,Mixto,2010s
Guardianes de la noche: Tren infinito,No,2020,Director,Hombre,2020s
Jiang Ziya,No,2020,Director,Hombre,2020s
Los Croods: Una nueva era,Sí,2020,Director,Hombre,2020s
Onward,Sí,2020,Director,Hombre,2020s
"Phineas y Ferb, la película: Candace contra el Universo",Sí,2020,Director,Mixto,2020s
"Sonic, la película",Sí,2020,Director,Hombre,2020s
Soul,Sí,2020,Director,Hombre,2020s
Trolls 2: Gira mundial,Sí,2020,Director,Hombre,2020s
¡Canta! 2,No,2021,Director,Hombre,2020s
Encanto,Sí,2021,Mixto,Mixto,2020s
Raya y el último dragón,Sí,2021,Director,Mixto,2020s
Space Jam: Nuevas leyendas,Sí,2021,Director,Hombre,2020s
Red,Sí,2022,Directora,Mujer,2020s
